lon	lat
3.604733333	39.4978
3.828333333	39.49166667
3.822166667	39.66566667
4.037	39.6675
4.042666667	39.51166667
4.036333333	39.33166667
4.033166667	39.17416667
4.257833333	39.17666667
4.266933333	39.66766667
4.256666667	39.33583333
2.525	39.33266667
2.301833333	39.3145
2.2925	39.48883333
2.3005	39.66166667
2.0845	39.66966667
2.085833333	39.5
2.085833333	39.33166667
2.078666667	39.17083333
1.858183333	39.16696667
1.8588	39.33316667
1.866283333	39.4927
1.65715	39.49333333
1.64975	39.33458333
1.65705	39.16096667
1.432166667	39.169
1.432166667	39.33566667
1.224333333	39.32833333
0.998966667	39.33333333
0.776166667	39.1675
0.776666667	39.00716667
0.8085	38.83323333
0.7852	38.6663
0.78	38.50411667
0.7805	38.33671667
0.783683333	38.1703
0.785	38.00236667
0.9989	38.0024
0.999166667	38.16366667
1.001	38.3305
0.995833333	38.49866667
1.208666667	38.83723333
1.213416667	38.67211667
1.215416667	38.49141667
1.000166667	38.836
1.210083333	38.35916667
1.20335	38.16628333
1.217983333	38.0057
1.4301	38.1707
1.432066667	38.33506667
1.427933333	38.49883333
1.651483333	38.6691
1.6487	38.8306
1.868316667	38.83448333
1.851583333	38.66886667
1.869	38.50066667
1.651233333	38.5049
1.657816667	38.33448333
1.874	38.33383333
1.873	38.165
2.098666667	38.34616667
2.083333333	38.50233333
2.083833333	38.67116667
2.086333333	38.83666667
2.089166667	39.00483333
2.7365	39.3333
2.738716667	39.16566667
2.524466667	39.1702
2.315933333	39.16801667
2.302083333	38.9995
2.304	38.83373333
2.30265	38.66608333
2.29925	38.50668333
2.305566667	38.33581667
2.519483333	38.16865
2.516266667	38.33203333
2.516516667	38.49645
2.521033333	38.66956667
2.5225	38.83601667
2.518666667	39.00221667
2.738466667	38.99968333
2.739366667	38.83203333
2.733866667	38.66551667
2.735233333	38.50256667
2.954166667	38.49855
2.955533333	38.66198333
2.95445	38.83613333
2.956333333	39.00833333
3.173333333	39.0025
3.168066667	38.83213333
3.167833333	38.66866667
3.387933333	38.66733333
3.391333333	38.83533333
3.3965	39.00233333
3.395983333	39.16576667
3.175333333	39.16516667
3.608166667	39.16483333
3.839333333	38.836
3.377133333	39.3345
3.603933333	39.33316667
2.7285	39.998
2.734	40.16683333
2.732	40.3335
2.518333333	40.33116667
2.5215	40.16716667
2.518666667	39.99883333
2.52	39.83316667
2.302833333	39.83083333
2.302333333	40.0035
2.3025	40.16633333
2.0885	39.999
2.081333333	39.84166667
1.866	39.66483333
1.4325	39.50083333
1.215	39.167
1.216833333	39
1.002833333	39
0.998333333	39.16533333
0.7815	37.831
0.995166667	37.83366667
0.998166667	38.333
0.998833333	38.66816667
1.215166667	37.83583333
1.432333333	37.9945
1.652166667	38.16833333
1.650833333	38.0015
1.869333333	38.99866667
4.258333333	39.501
3.825	38.999
3.601666667	38.99933333
3.820833333	39.83583333
3.822	39.32716667
3.612833341	39.83266665
3.279033343	39.83488331
3.393933328	40.00016667
3.603983307	39.99886665
3.607366689	39.67318331
3.3875	39.49970001
4.471266651	39.66570002
3.802766673	39.16621666
2.73641669	39.16678333
4.050899998	39.83138332
3.389833323	39.83216667
3.16833334	39.99650002
2.954666646	40.16366666
2.948833338	40.00066667
3.604166667	40.16933333
4.68799998	39.83116665
4.684166654	39.66916669
4.481166681	39.50183334
1.430033334	39.16721667
1.650683339	39.00166667
